audio_filename,speaker,transcript,language,convo_id,source
nahuatl_dev/clips/6064458f4b0e49a1a571eae70f5705bc.mp3,20,"Tejua nikelnamik porque nikchiutoya se pio corral uan nikita que nechpoloa nikuapanchan, ka nojón nikelnamik ta amo yo nikelkaukaya.",azz,115,competition
nahuatl_dev/clips/10b2aae8c4584671a67e652871a36c61.mp3,40,ama inka ama nimauiltia nimauiltis hasta las doce más o menos doce uan tlajko uelis ama nimauiltia ipan play kena,nhw,2,competition
nahuatl_dev/clips/3eca375fb1c94d0a8076c0ec19a586d4.mp3,9,"!Tejua¡ ken se kichiluis non piochilat, nechtapoui.",azz,124,competition
nahuatl_dev/clips/e9ae55134c4b4674a4ea183b5a6fc662.mp3,40,tipaxalotisen miak ejmiak lados uan ipan miak lugares amo titlaxtlauas yeka kena kuali sekin parque sekin tlamantli sekin lugares katli amo titlaxtlaua miak san pasajes uan pasajes amo patiyo kentsi ken aj ken... ken kema ta tiualajki nojkia,nhw,3,competition
nahuatl_dev/clips/af980d66c70e43cc8b1c2dd147f25add.mp3,20,"Kuali yetok este xikili maj youi ompa kalijtik uan xa moyoleuaskia ka omen uan nikinmakaya, sayój xikili que yekin yolkej.",azz,122,competition
nahuatl_dev/clips/a57f0b5479f147a6a2d636661e96be33.mp3,40,kena kuali techiluía nopa prima katli kineki... kineki ualas,nhw,3,competition
nahuatl_dev/clips/55651dce09594130b88d3aa073433ef0.mp3,20,"Es que ijkón kemej tikijto fiero mokaki. Va, chouej, ¿keman tiyouej? alrato den tiotak, masma techkitski kiouit.",azz,117,competition
nahuatl_dev/clips/deee02f555e8468a9dd040a6a02ef705.mp3,20,Tejua pero nojón semi amo miak que tal uan uitsej oksekin uan techtanij nenkaj tiyaskej.,azz,123,competition
nahuatl_dev/clips/2af050ebceab4d27880e35b9676cbe33.mp3,40,nopa kuali kena ta tikmati,nhw,2,competition
nahuatl_dev/clips/6932fc69a51a44cca54594114067d0b8.mp3,40,uan ya kaxilik treinta y tres xiuitl uelis tikijtosen a san se ichpokatsin se lamatsin se siuapil inka ya kipia treinta y tres xiuitl uajpa amo kuali kinamiki para kiani moneuilis uan kichiuas nopa ken se siuapil ya eli se... se siuatsin ya mas ueuentsin mas ueuentsin ken na uan noja kichiuilia nopa mauiltia ken se siuapil katl ika tlamantli katli amo moneki ma timauiltiskej pampa,nhw,2,competition
nahuatl_dev/clips/239ecc089f44400a89c5bba552026e22.mp3,40,kena kena ika noyolo ni... na nikchiua uan ama mitspouilis seyok tlamantli achi uetskilia pampa se nouampox se se siuatl eli ken se ichpokatl kemanti ken se siuapil amo ken se ichpokatl ken se siuapil,nhw,2,competition
nahuatl_dev/clips/3c1f246b43d5430da7d6fde6ff5a8915.mp3,40,tlake uelis timokauasen uan kenijkatsa uelis ti... pues tikchiuasen katli... katli ta tikneki uan sintla tikneki tijkouilis se tlamantli se sekin mercancía o seyok tlamantli pues nojkia ta tijmati techiluis,nhw,3,competition
nahuatl_dev/clips/8c1e61dea6b447d79be8a246e1f8123e.mp3,40,pues moneki tikchiuasen ken... ken tlakamej o ken siuamej,nhw,2,competition
nahuatl_dev/clips/bc16648e5cde49a48beae62ae04f1930.mp3,20,"Tejua kachi kuali xikuika uan xikuika iuan nen tapajtiani porin amo no tikmati keye kuitikis o ken, amo no mitsmakaskej katiyejua yayo pajti.",azz,121,competition
nahuatl_dev/clips/cfa68f6d893a47d5a4827fe13bd2dd6d.mp3,9,Pero nojón kuak yo yoksik in pollo ¿amo?.,azz,124,competition
nahuatl_dev/clips/b29938c160144f90bc8feee1aaf0d546.mp3,9,"Pues in primero yetoti tres mil uan segundo lugar yetoti dos mil uan tercero yetoti mil pesos, a ver xa namechconveniroa nanmauiltitiuej.",azz,123,competition
nahuatl_dev/clips/8aa12a60b5114e85a414f075239856fc.mp3,20,Achá kemaj timatamis moselti uan mosta toni horas tiualas.,azz,116,competition
nahuatl_dev/clips/1ad6bc72188a4f369640ee9d18d1b65b.mp3,9,Achá amo nenkaj niyas porque fiero xiujtaj uan niktatsiuilia non ne xiuit nikixuitekis uan nitaixuajuanas mejor nitatakeuas.,azz,110,competition
nahuatl_dev/clips/53cf90002c9e406eb12a764a67c48608.mp3,20,Sale entoces ijkón timokauaj uan nikinuika seki melamej ka manteca.,azz,110,competition
nahuatl_dev/clips/2b473831811d489ca5bfdc48a03a17ac.mp3,9,Pos amo nimotatokij sayój nikneki nechpaleuiki mosta ta amo ijtakauiti in nakat uan in habas .,azz,105,competition
nahuatl_dev/clips/22eab289c72845e79bf78460280cde5a.mp3,20,"Tejua pues nesnón nikita amo liuis taueyika xa tejua timatamis moselti, mejor tejua xuiki moselti amo nenkaj niktakeuas okse.",azz,116,competition
nahuatl_dev/clips/be208df4578742028e57718243760f04.mp3,40,ejuelis,nhw,2,competition
nahuatl_dev/clips/2d408a11c7574287852d2229cfa2c8e7.mp3,40,maski ama kena ipan youal tlajkoyoual nimoneuilia miak tlamantli nopa miakpa nimoneuilia nimoseli nejnemis nimoseli nejnemis uan nochipa uan amo nimosiuatis uan yon se techiknelis,nhw,2,competition
nahuatl_dev/clips/6bcffe7646a24b849bdd82b597e4b113.mp3,20,"An ijkón, ¡tejua! pero toni kimaka momán.",azz,121,competition
nahuatl_dev/clips/182b2cfbc9e24b72b81915cd13e1912f.mp3,9,Pues kemaj niyas uan takouan amo nimatami pues oksepa niyas mostika.,azz,116,competition
nahuatl_dev/clips/bb277554964c48b9a4adcc476a5b0bbc.mp3,9,"Liuis nikochik tiotak ya uan amo uelik nikochik ok, liuis nechkuajtoyaj in tekpimej tons kachi kuali nimeuak ya.",azz,119,competition
nahuatl_dev/clips/931d97d538d34503a46b8c0e4d2f5912.mp3,20,"Achá melau, tak nikinyoleuati in siuamej uan nikiniliti maj tiyakan ta siquiera tiyouej timoixpetanitij.",azz,123,competition
nahuatl_dev/clips/a429a45b636848e8866adbd757f27b4d.mp3,9,Uan kemaj ualas porque yej kineki tomin ahorita kinecesitarojtok tons uan yejua amo kalaki tiopan tons kemaj ualas.,azz,110,competition
nahuatl_dev/clips/21f32545e17a42c6b7a48feda0547e20.mp3,40,uan moyoyontia ken ipan ánimes kichiuilia cosplay uan nopa chano techpaktia nopa chano techpaktiaj este tiomej yeka tiasen uan kena nojkia ken se ajuiyak nopa kafensi uan ej,nhw,3,competition
nahuatl_dev/clips/d8c8ba53ded44a7694ba4417005624cb.mp3,9,Pos yo nimitsilij que nimitsinmakas amo xitsajtsito.,azz,115,competition
nahuatl_dev/clips/bd6552dcf9c64cbcbeb856d93bc3e850.mp3,40,nopa nelia na kiampa nikita ken nimauilti,nhw,3,competition
nahuatl_dev/clips/5ad2dd45fbe3429f9970fbe578b86f5b.mp3,9,"No manchas nimopoloj, tiyouej tiktemotij nanakat xa tikajsij ya seki kosauik, kejkex.",azz,117,competition
nahuatl_dev/clips/4e95fc431f314b249523e9c4c278c6a6.mp3,9,Pues moyoleuakan ximauiltitij uan tisenyaske uan ompa tisenuitse ya oksepa.,azz,123,competition
nahuatl_dev/clips/e3d81b794b424933bac7c01ecf07d442.mp3,9,Pues takouan tiueliskia pues nikneki nechchiuili de pitsonakat uan de habas selik no.,azz,105,competition
nahuatl_dev/clips/1ab8b3433898494bb92721e0690b8158.mp3,20,¡Amo xikijto! tons tikinmatsakuilij ako mokuajkej yok ¡tejua! pero x xitetapoui para maj kimatikan pos keye amo mitsuantikej in chichik.,azz,113,competition
nahuatl_dev/clips/052ec735652c4b63a10f48150328b331.mp3,9,"Nejua kemaj nitameuas pero iuan okse, pero noselti amo kachi nikuelita nitameuas",azz,116,competition
nahuatl_dev/clips/387e31b14d1f41198b8e47f28e2dee60.mp3,20,¡Tejua! ¿pero xe kinekis ualas non ne tamakas? fiero uejka Atenti para hasta nikan maj uiki.,azz,110,competition
nahuatl_dev/clips/f543dbbdc0574a34b3d9692ebf457562.mp3,40,"aj nopa kena nikan kena chano tanamaka peseli nochi tlakenti pantalon de siuamej kena uan siuamej kena kuali kijkouilia nopa uan uelis titanamakas se uelis tijkouilis se kentsi maquillaje uan nojkia titanamaka ya tijmati kenijki siuamej kipaktiaj kena pero nikan kena kuali kuali eltoya precios uelis miak ti.., tijkouilis",nhw,2,competition
nahuatl_dev/clips/455c09fa69054f6e80555fc9bce83b59.mp3,20,No manches tejua pero nitakau xe amo yeski kimati ¡no manches! uan toni kichijtoyaj ompa curva.,azz,113,competition
nahuatl_dev/clips/a92889720fb34307b40e0315e0592603.mp3,40,yaui tlake tikchiua katsa aniitstokej nochi neka mochan nikan ipan nochan aman nimoseuia uan nitsotsona se kentsi guitarra ama nikyekoua se yok kuikalis se tlakuikalis itokax donna katli kichijki nopa tikilnamiki ritchie valens ricardo valenzuela nopa,nhw,3,competition
nahuatl_dev/clips/46c6fea6b1b546f0b7c76b6342b176f7.mp3,40,ken se lamatsin pampa kemantik san kipaktia ma techkualani uan keman techtitlanilia se tlamantli ika mensaje o ika seyok san kichiua para techkualani na nimokualani amo miak nimokualania maski kemantik achi kena ma pero pues ni... nikxiko nikxikoua ama amo... amo,nhw,2,competition
nahuatl_dev/clips/43cc8348fe954b0d9d5078fd778b04a7.mp3,9,"An ijkón entonces, amo nikmatia entonces ahorita nikmatok ya uan alrratito nikitas in metstsin ken yetok, xa kualtia nitatoka ijkón ya.",azz,112,competition
nahuatl_dev/clips/dc89a3bd0d1b41bfac6bc27363fe3280.mp3,40,san se tlatoksi tikochis nouampox kena... kena kuali xkochi kuali xkochiti uan mostla ti... tiuejchiuasen tikamanaltisen,nhw,3,competition
nahuatl_dev/clips/53b9f3bfc32a42148af4d5a110d6d383.mp3,9,An pos tanauatijke den faena pera amo niyetoya niyajka nikitato nokniuan uan yekin niejko uan toni se kuikas ¿xa tikmati?.,azz,110,competition
nahuatl_dev/clips/2f1f2797c72a4dc9b31b8d303b044ef6.mp3,9,"Pos nejua amo nikpiya totomoch pero nikpiya pajpata, pero xa tikpiya tejua nechnamakilti tejua.",azz,105,competition
nahuatl_dev/clips/f74a993cbc014d9d990893622dae2935.mp3,9,Pues yalua nikitak katka sitalaj paro amo yon nikitak metstsin.,azz,112,competition
nahuatl_dev/clips/730a469b55cf46b28500cc4fda8fbf86.mp3,9,Pues nimitskouilitia in cinco kilos uan nechkauili ka cien tepitsin xitsinkixti.,azz,106,competition
